# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', 'deltacol_p', 'deltalat_p', 'deltalon_p', 'deltaped_p', reward, control reward
1.100000000000000283e-01,5.104911446452657060e+02,5.104911446452657060e+02,5.104911446452657060e+02,5.104911446452657060e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.881040021427526909e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.440714124620992465e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.720287173673765491e-01,2.240018655265796355e-03,-2.720287173673765491e-01,2.240018655265796355e-03,-2.720287173673765491e-01,2.240018655265796355e-03,-2.720287173673765491e-01,2.240018655265796355e-03,-2.633923690315619348e-01,-2.633923690315619348e-01,-2.633923690315619348e-01,-2.633923690315619348e-01,-4.628818126763745155e-03,-4.628818126763745155e-03
1.150000000000000328e-01,5.107305152139723532e+02,5.107305152139723532e+02,5.107305152139723532e+02,5.107305152139723532e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.109419979512416887e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.693784009726753581e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.705020775919403375e-01,2.291970780241792127e-03,-2.705020775919403375e-01,2.291970780241792127e-03,-2.705020775919403375e-01,2.291970780241792127e-03,-2.705020775919403375e-01,2.291970780241792127e-03,-2.617965652401843535e-01,-2.617965652401843535e-01,-2.617965652401843535e-01,-2.617965652401843535e-01,-4.904726007677995270e-03,-4.904726007677995270e-03
1.200000000000000372e-01,5.109674637774477901e+02,5.109674637774477901e+02,5.109674637774477901e+02,5.109674637774477901e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.350347893087523232e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.942619595655006748e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.689482550150663620e-01,2.323119073897039755e-03,-2.689482550150663620e-01,2.323119073897039755e-03,-2.689482550150663620e-01,2.323119073897039755e-03,-2.689482550150663620e-01,2.323119073897039755e-03,-2.602169081503480363e-01,-2.602169081503480363e-01,-2.602169081503480363e-01,-2.602169081503480363e-01,-5.177654384963759071e-03,-5.177654384963759071e-03
1.250000000000000278e-01,5.112021786958038660e+02,5.112021786958038660e+02,5.112021786958038660e+02,5.112021786958038660e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.603610419664725839e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.187161161095854567e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.673790649186825741e-01,2.339305115673928626e-03,-2.673790649186825741e-01,2.339305115673928626e-03,-2.673790649186825741e-01,2.339305115673928626e-03,-2.673790649186825741e-01,2.339305115673928626e-03,-2.586521420279742633e-01,-2.586521420279742633e-01,-2.586521420279742633e-01,-2.586521420279742633e-01,-5.447522203062327151e-03,-5.447522203062327151e-03
1.300000000000000322e-01,5.114347972767756119e+02,5.114347972767756119e+02,5.114347972767756119e+02,5.114347972767756119e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.868991956996858050e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.427376512330495117e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.658029640261300175e-01,2.344839673061871466e-03,-2.658029640261300175e-01,2.344839673061871466e-03,-2.658029640261300175e-01,2.344839673061871466e-03,-2.658029640261300175e-01,2.344839673061871466e-03,-2.571013514881625994e-01,-2.571013514881625994e-01,-2.571013514881625994e-01,-2.571013514881625994e-01,-5.714275708030180922e-03,-5.714275708030180922e-03
1.350000000000000366e-01,5.116654179680139691e+02,5.116654179680139691e+02,5.116654179680139691e+02,5.116654179680139691e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.146275812089260882e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.663253094190467962e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.642259431895331856e-01,2.342870240872541032e-03,-2.642259431895331856e-01,2.342870240872541032e-03,-2.642259431895331856e-01,2.342870240872541032e-03,-2.642259431895331856e-01,2.342870240872541032e-03,-2.555638802132401688e-01,-2.555638802132401688e-01,-2.555638802132401688e-01,-2.555638802132401688e-01,-5.977880675399394050e-03,-5.977880675399394050e-03
1.400000000000000411e-01,5.118941100253910577e+02,5.118941100253910577e+02,5.118941100253910577e+02,5.118941100253910577e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.435245031337963439e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.894792223333222836e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.626522017952580557e-01,2.335670913620635503e-03,-2.626522017952580557e-01,2.335670913620635503e-03,-2.626522017952580557e-01,2.335670913620635503e-03,-2.626522017952580557e-01,2.335670913620635503e-03,-2.540392664973929460e-01,-2.540392664973929460e-01,-2.540392664973929460e-01,-2.540392664973929460e-01,-6.238316726467019180e-03,-6.238316726467019180e-03
1.450000000000000455e-01,5.121209210540738468e+02,5.121209210540738468e+02,5.121209210540738468e+02,5.121209210540738468e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.735682984111754479e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.122004916730983126e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.610846513619939913e-01,2.324867396394036945e-03,-2.610846513619939913e-01,2.324867396394036945e-03,-2.610846513619939913e-01,2.324867396394036945e-03,-2.610846513619939913e-01,2.324867396394036945e-03,-2.525271929728409859e-01,-2.525271929728409859e-01,-2.525271929728409859e-01,-2.525271929728409859e-01,-6.495573215142158574e-03,-6.495573215142158574e-03
1.500000000000000500e-01,5.123458828060042833e+02,5.123458828060042833e+02,5.123458828060042833e+02,5.123458828060042833e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.047373768909512393e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.344908905756785344e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.595252874560033396e-01,2.311609245908563537e-03,-2.595252874560033396e-01,2.311609245908563537e-03,-2.595252874560033396e-01,2.311609245908563537e-03,-2.595252874560033396e-01,2.311609245908563537e-03,-2.510274479599714503e-01,-2.510274479599714503e-01,-2.510274479599714503e-01,-2.510274479599714503e-01,-6.749646282647736584e-03,-6.749646282647736584e-03
1.550000000000000544e-01,5.125690155793564600e+02,5.125690155793564600e+02,5.125690155793564600e+02,5.125690155793564600e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.370102493123084741e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.563526521957685489e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.579754614233320531e-01,2.296700065274270841e-03,-2.579754614233320531e-01,2.296700065274270841e-03,-2.579754614233320531e-01,2.296700065274270841e-03,-2.579754614233320531e-01,2.296700065274270841e-03,-2.495398961376236180e-01,-2.495398961376236180e-01,-2.495398961376236180e-01,-2.495398961376236180e-01,-7.000536771269993963e-03,-7.000536771269993963e-03
