# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', reward, control reward
1.100000000000000283e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.150000000000000328e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000372e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000278e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000322e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.350000000000000366e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000411e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.450000000000000455e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000500e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.550000000000000544e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
